repo_id,snapshot_month,n_components,semantic_score,aria_score,keyboard_score,wcag_total_dens,wcag_operable_dens,severity_weighted_dens,total_elements,is_treated,treatment_date,full_name,treated_tier,month_int,t_month_int,is_post,rel_month
488802963,2023-04,367,0.8857855585831063,1.0,0.9346049046321526,0.06773547094188377,0.039679358717434866,0.15030060120240482,2495,0,2025-05-06,antvis/G6VP,0,39,64,0,-25
488802963,2023-05,368,0.8835144021739131,1.0,0.9320652173913043,0.06947697111631537,0.04059328649492584,0.15456674473067916,2562,0,2025-05-06,antvis/G6VP,0,40,64,0,-24
488802963,2023-06,378,0.8806436507936508,1.0,0.9338624338624338,0.06835637480798772,0.039938556067588324,0.15207373271889402,2604,0,2025-05-06,antvis/G6VP,0,41,64,0,-23
488802963,2023-07,383,0.879590861618799,1.0,0.9347258485639687,0.06946061311602639,0.0403570042685293,0.1548311990686845,2577,0,2025-05-06,antvis/G6VP,0,42,64,0,-22
488802963,2023-08,398,0.8803600502512563,1.0,0.9371859296482412,0.06731126812941614,0.03867608776496839,0.1506136110078096,2689,0,2025-05-06,antvis/G6VP,0,43,64,0,-21
488802963,2023-09,398,0.8803600502512563,1.0,0.9371859296482412,0.06696263411024787,0.03847576766555679,0.14983351831298558,2703,0,2025-05-06,antvis/G6VP,0,44,64,0,-20
488802963,2023-10,398,0.8803600502512563,1.0,0.9371859296482412,0.06688839615668885,0.038433111603843315,0.14966740576496673,2706,0,2025-05-06,antvis/G6VP,0,45,64,0,-19
488802963,2023-11,398,0.8803600502512563,1.0,0.9371859296482412,0.06688839615668885,0.038433111603843315,0.14966740576496673,2706,0,2025-05-06,antvis/G6VP,0,46,64,0,-18
488802963,2023-12,398,0.8803600502512563,1.0,0.9371859296482412,0.06688839615668885,0.038433111603843315,0.14966740576496673,2706,0,2025-05-06,antvis/G6VP,0,47,64,0,-17
488802963,2024-01,398,0.8803600502512563,1.0,0.9371859296482412,0.06688839615668885,0.038433111603843315,0.14966740576496673,2706,0,2025-05-06,antvis/G6VP,0,48,64,0,-16
488802963,2024-03,398,0.8803600502512563,1.0,0.9371859296482412,0.06683899556868537,0.03840472673559823,0.14955686853766617,2708,0,2025-05-06,antvis/G6VP,0,50,64,0,-14
488802963,2024-07,398,0.8803600502512563,1.0,0.9371859296482412,0.06683899556868537,0.03840472673559823,0.14955686853766617,2708,0,2025-05-06,antvis/G6VP,0,54,64,0,-10
488802963,2024-08,398,0.8803600502512563,1.0,0.9371859296482412,0.06683899556868537,0.03840472673559823,0.14955686853766617,2708,0,2025-05-06,antvis/G6VP,0,55,64,0,-9
491459489,2022-06,34,0.9705882352941176,1.0,1.0,0.007352941176470588,0.0,0.022058823529411766,272,1,2023-10-25,gitcoinco/grants-stack,2,29,45,0,-16
491459489,2022-07,23,1.0,1.0,1.0,0.008676789587852495,0.0,0.026030368763557483,461,1,2023-10-25,gitcoinco/grants-stack,2,30,45,0,-15
491459489,2022-08,47,0.9787234042553191,1.0,1.0,0.0047169811320754715,0.0,0.014150943396226415,424,1,2023-10-25,gitcoinco/grants-stack,2,31,45,0,-14
491459489,2022-09,60,0.9833333333333333,1.0,1.0,0.00558659217877095,0.0,0.01675977653631285,537,1,2023-10-25,gitcoinco/grants-stack,2,32,45,0,-13
491459489,2022-10,65,0.9846153846153847,1.0,1.0,0.003125,0.0,0.009375,640,1,2023-10-25,gitcoinco/grants-stack,2,33,45,0,-12
491459489,2022-11,75,0.9866666666666667,1.0,1.0,0.002628120893561104,0.0,0.00788436268068331,761,1,2023-10-25,gitcoinco/grants-stack,2,34,45,0,-11
491459489,2022-12,97,0.9931268041237112,1.0,0.9896907216494846,0.005437737901033171,0.0032626427406199023,0.011963023382272975,1839,1,2023-10-25,gitcoinco/grants-stack,2,35,45,0,-10
491459489,2023-01,93,0.989247311827957,1.0,1.0,0.002079002079002079,0.0,0.006237006237006237,962,1,2023-10-25,gitcoinco/grants-stack,2,36,45,0,-9
491459489,2023-02,204,0.978757843137255,0.9967318627450981,0.9901960784313726,0.0057692307692307696,0.0028846153846153848,0.01282051282051282,3120,1,2023-10-25,gitcoinco/grants-stack,2,37,45,0,-8
491459489,2023-03,216,0.9706787037037038,0.9969134259259259,0.9907407407407407,0.00641399416909621,0.0026239067055393588,0.015160349854227406,3430,1,2023-10-25,gitcoinco/grants-stack,2,38,45,0,-7
491459489,2023-04,234,0.9629628205128206,0.9971508547008547,0.9914529914529915,0.012283044058744993,0.0026702269692923898,0.032843791722296393,3745,1,2023-10-25,gitcoinco/grants-stack,2,39,45,0,-6
491459489,2023-05,241,0.9623788381742738,0.9972336099585063,0.991701244813278,0.011794228356336261,0.002509410288582183,0.03161856963613551,3985,1,2023-10-25,gitcoinco/grants-stack,2,40,45,0,-5
491459489,2023-06,246,0.9631434959349594,0.9972898373983741,0.991869918699187,0.011469009272816008,0.002440214738897023,0.03074670571010249,4098,1,2023-10-25,gitcoinco/grants-stack,2,41,45,0,-4
491459489,2023-07,250,0.9637332,0.9973332,0.992,0.011471808640468635,0.00244081034903588,0.030754210397852085,4097,1,2023-10-25,gitcoinco/grants-stack,2,42,45,0,-3
491459489,2023-08,274,0.9632602189781023,0.997566788321168,0.9890510948905109,0.012221423436376708,0.002875629043853343,0.03235082674335011,4173,1,2023-10-25,gitcoinco/grants-stack,2,43,45,0,-2
491459489,2023-09,274,0.9632602189781023,0.997566788321168,0.9890510948905109,0.012221423436376708,0.002875629043853343,0.03235082674335011,4173,1,2023-10-25,gitcoinco/grants-stack,2,44,45,0,-1
491459489,2023-10,285,0.9620466666666668,0.997660701754386,0.9859649122807017,0.012910798122065728,0.0035211267605633804,0.033568075117370894,4260,1,2023-10-25,gitcoinco/grants-stack,2,45,45,1,0
491459489,2023-11,308,0.9605519480519481,0.9978353896103896,0.987012987012987,0.0125251621561172,0.0033549541489599644,0.032654887049876985,4471,1,2023-10-25,gitcoinco/grants-stack,2,46,45,1,1
491459489,2023-12,308,0.9605519480519481,0.9978353896103896,0.987012987012987,0.012536377882247594,0.0033579583613163196,0.03268412805014551,4467,1,2023-10-25,gitcoinco/grants-stack,2,47,45,1,2
491459489,2024-01,311,0.9609324758842445,0.997856270096463,0.9871382636655949,0.012612612612612612,0.0033783783783783786,0.03288288288288288,4440,1,2023-10-25,gitcoinco/grants-stack,2,48,45,1,3
491459489,2024-02,307,0.9604234527687298,0.997828338762215,0.9869706840390879,0.012811713566689545,0.0034317089910775567,0.033401967513154884,4371,1,2023-10-25,gitcoinco/grants-stack,2,49,45,1,4
491459489,2024-03,308,0.9670454545454547,0.9978353896103896,0.987012987012987,0.008160237388724036,0.00370919881305638,0.01904055390702275,4044,1,2023-10-25,gitcoinco/grants-stack,2,50,45,1,5
491459489,2024-04,316,0.9678797468354431,0.9978901898734177,0.9873417721518988,0.0075046904315197,0.003517823639774859,0.017354596622889306,4264,1,2023-10-25,gitcoinco/grants-stack,2,51,45,1,6
491459489,2024-05,317,0.9660883280757098,0.9978968454258675,0.9873817034700315,0.008434009573740598,0.004103031684522453,0.019603373603829497,4387,1,2023-10-25,gitcoinco/grants-stack,2,52,45,1,7
491459489,2024-06,324,0.9606481481481481,0.9979422839506173,0.9814814814814815,0.010551248923341947,0.005813953488372093,0.023686477174849268,4644,1,2023-10-25,gitcoinco/grants-stack,2,53,45,1,8
491459489,2024-07,336,0.9464285714285714,0.9980157738095239,0.9672619047619048,0.014391534391534391,0.008465608465608466,0.03153439153439153,4725,1,2023-10-25,gitcoinco/grants-stack,2,54,45,1,9
491459489,2024-08,341,0.9472140762463344,0.9980448680351907,0.967741935483871,0.014148980441115273,0.008322929671244279,0.031002913025384937,4806,1,2023-10-25,gitcoinco/grants-stack,2,55,45,1,10
491459489,2024-09,349,0.9484240687679083,0.9980896848137536,0.9684813753581661,0.014116670126634834,0.008303923603902844,0.030932115424538095,4817,1,2023-10-25,gitcoinco/grants-stack,2,56,45,1,11
491459489,2024-10,388,0.9432989690721649,0.9982817010309278,0.961340206185567,0.01716566866267465,0.010578842315369262,0.036926147704590816,5010,1,2023-10-25,gitcoinco/grants-stack,2,57,45,1,12
491459489,2024-11,389,0.9408740359897172,0.998286118251928,0.9588688946015425,0.017956903431763767,0.0111731843575419,0.03850758180367119,5012,1,2023-10-25,gitcoinco/grants-stack,2,58,45,1,13
491459489,2024-12,390,0.941025641025641,0.9982905128205128,0.958974358974359,0.01853328019131128,0.011558389796731766,0.03965723395775209,5018,1,2023-10-25,gitcoinco/grants-stack,2,59,45,1,14
491459489,2025-01,389,0.9408740359897172,0.998286118251928,0.9588688946015425,0.018614891913530825,0.011609287429943955,0.03983186549239392,4996,1,2023-10-25,gitcoinco/grants-stack,2,60,45,1,15
491459489,2025-02,390,0.941025641025641,0.9982905128205128,0.958974358974359,0.018607442977190875,0.011604641856742696,0.03981592637054822,4998,1,2023-10-25,gitcoinco/grants-stack,2,61,45,1,16
